"67,""153"",""Fernando GARCÍA HERNÁNDEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1472256291192&method=ResAtletaUid"",""63"",""34 SEN-M"",""SEN"",""Menriscotrail"",""17:52:12"",""11:03"",""06:22:25"",""14008"",""M"",""3 MIL-M";"38 LOC-M"""
"68,""78"",""Francisco CLEMENTE LÓPEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705229932&method=ResAtletaUid"",""64"",""27 VETA-M"",""VETA"",""Asociación Kairós"",""17:57:03"",""11:06"",""06:27:16"",""14006"",""M"",""39 LOC-M""";
"69,""223"",""Juan Francisco HERNÁNDEZ DE LA ROSA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1482050884187&method=ResAtletaUid"",""65"",""35 SEN-M"",""SEN"",""AIIIIIIDELANTE TEAM"",""18:01:38"",""11:09"",""06:31:51"",""14008"",""M"",""40 LOC-M""";
"70,""234"",""Jose Manuel HERNÁNDEZ MÉNDEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705230569&method=ResAtletaUid"",""66"",""28 VETA-M"",""VETA"",""LEVANTAPOLVACERAS"",""18:04:07"",""11:10"",""06:34:20"",""14006"",""M"",""41 LOC-M""";
"71,""72"",""Eugenia CASTRO AFONSO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705236209&method=ResAtletaUid"",""5-F"",""1 VETB-F"",""VETB"",""7 RAID"",""18:04:18"",""11:10"",""06:34:31"",""14002"",""F"",""3 LOC-F""";
"72,""276"",""Sixto LORENZO FARRAIS"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535752440&method=ResAtletaUid"",""67"",""29 VETA-M"",""VETA"",""-"",""18:04:20"",""11:10"",""06:34:33"",""14006"",""M"",""42 LOC-M""";
"73,""82"",""Rocio CORZO BRUÑAS"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705236782&method=ResAtletaUid"",""6-F"",""3 SEN-F"",""SEN"",""Coyotes Tenerife trail"",""18:05:50"",""11:11"",""06:36:03"",""14001"",""F"",""1 MIL-F";"4 LOC-F"""
"74,""73"",""Eduardo CEBRIÁN MARTÍNEZ DE LAGOS"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705229302&method=ResAtletaUid"",""68"",""30 VETA-M"",""VETA"",""Tenerife Trail"",""18:18:26"",""11:19"",""06:48:39"",""14006"",""M"",""43 LOC-M""";
"75,""430"",""Marcos ROSQUETE IZQUIERDO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535753597&method=ResAtletaUid"",""69"",""36 SEN-M"",""SEN"",""KALANDRAKAS TRAIL"",""18:19:27"",""11:20"",""06:49:40"",""14008"",""M"",""44 LOC-M""";
"76,""181"",""Francisco  GONZALEZ GARCIA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535745901&method=ResAtletaUid"",""70"",""37 SEN-M"",""SEN"",""MACHETE TRAIL"",""18:21:44"",""11:21"",""06:51:57"",""14008"",""M"",""45 LOC-M""";
"77,""79"",""Gonzalo CONCHESO PANIAGUA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1487884329179&method=ResAtletaUid"",""71"",""31 VETA-M"",""VETA"",""-"",""18:25:01"",""11:23"",""06:55:14"",""14006"",""M"",""""";
"78,""119"",""Gerhard EGGENREICH"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1481290984901&method=ResAtletaUid"",""72"",""3 VETB-M"",""VETB"",""RC NORSKE SKOG BRUCK MUR"",""18:26:23"",""11:24"",""06:56:36"",""14005"",""M"",""""";
"79,""322"",""José Antonio MOLINA GONZALEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705226038&method=ResAtletaUid"",""73"",""4 VETB-M"",""VETB"",""Atlantes trail"",""18:31:35"",""11:27"",""07:01:48"",""14005"",""M"",""46 LOC-M""";
